"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"85111";"ALVORADA";85111;"ALVORADA";124;13;"Vereador";"Partido isolado";25;"DEM";"Democratas";-1;"#NULO#";"#NULO#";"#NULO#";210000057368;"PARTIDO ISOLADO";"DEM";"N";270;0;270;3660;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"88153";"RIO GRANDE";88153;"RIO GRANDE";37;11;"Prefeito";"Coligação";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";210000142709;"COM TRABALHO E RESPEITO, O RIO GRANDE TEM JEITO";"PSD / AVANTE / PROS";"N";0;0;0;962;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"86070";"CIRÍACO";86070;"CIRÍACO";138;11;"Prefeito";"Partido isolado";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";210000075089;"PARTIDO ISOLADO";"REPUBLICANOS";"N";0;0;0;63;0;0
"30/09/2024";"11:03:29";2020;1;"Eleição Extraordinária";1;599;"Eleição suplementar Redentora/RS";"05/03/2023";"M";"RS";"88110";"REDENTORA";88110;"REDENTORA";140;11;"Prefeito";"Coligação";15;"MDB";"Movimento Democrático Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";210001686402;"JUNTOS PODEMOS MAIS";"MDB / PDT / UNIÃO / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / PSB";"N";0;0;0;2844;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"85693";"CAMAQUÃ";85693;"CAMAQUÃ";12;11;"Prefeito";"Coligação";40;"PSB";"Partido Socialista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";210000068791;"UM NOVO RUMO PRA CAMAQUÃ";"PTB / PT / REPUBLICANOS / PC do B / PSB / PDT";"N";0;0;0;10838;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"88714";"SÃO JERÔNIMO";88714;"SÃO JERÔNIMO";50;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";-1;"#NULO#";"#NULO#";"#NULO#";210000131051;"PRA CONTINUAR CRESCENDO";"PDT / PSDB / MDB";"N";0;0;0;6905;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"89362";"PINHAL DA SERRA";89362;"PINHAL DA SERRA";58;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";210000079529;"PARTIDO ISOLADO";"PP";"N";43;0;43;1214;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"88013";"PORTO ALEGRE";88013;"PORTO ALEGRE";114;13;"Vereador";"Partido isolado";23;"CIDADANIA";"Cidadania";-1;"#NULO#";"#NULO#";"#NULO#";210000155126;"PARTIDO ISOLADO";"CIDADANIA";"N";29;0;29;1359;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"87874";"PEDRO OSÓRIO";87874;"PEDRO OSÓRIO";123;13;"Vereador";"Partido isolado";13;"PT";"Partido dos Trabalhadores";-1;"#NULO#";"#NULO#";"#NULO#";210000069385;"PARTIDO ISOLADO";"PT";"N";102;0;102;1092;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"85286";"ESTAÇÃO";85286;"ESTAÇÃO";70;13;"Vereador";"Partido isolado";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";210000116275;"PARTIDO ISOLADO";"PSD";"N";9;0;9;129;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"88439";"SANTANA DA BOA VISTA";88439;"SANTANA DA BOA VISTA";9;11;"Prefeito";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";210000116234;"PARTIDO ISOLADO";"PP";"N";0;0;0;1454;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"85936";"CARLOS BARBOSA";85936;"CARLOS BARBOSA";152;13;"Vereador";"Partido isolado";45;"PSDB";"Partido da Social Democracia Brasileira";-1;"#NULO#";"#NULO#";"#NULO#";210000117428;"PARTIDO ISOLADO";"PSDB";"N";20;0;20;1067;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"88013";"PORTO ALEGRE";88013;"PORTO ALEGRE";111;13;"Vereador";"Partido isolado";80;"UP";"Unidade Popular";-1;"#NULO#";"#NULO#";"#NULO#";210000053522;"PARTIDO ISOLADO";"UP";"N";2;0;2;91;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"89460";"SÃO JOSÉ DO SUL";89460;"SÃO JOSÉ DO SUL";31;11;"Prefeito";"Coligação";12;"PDT";"Partido Democrático Trabalhista";-1;"#NULO#";"#NULO#";"#NULO#";210000070071;"ADMINISTRAÇÃO PARA O POVO";"PDT / MDB";"N";0;0;0;678;0;0
